movie_id,primary_title,runtime_minutes,genres,averagerating,numvotes
tt10356526,Laiye Je Yaarian,117.0,Romance,8.3,31
tt10384606,Borderless,87.0,Documentary,8.9,559
tt1042974,Just Inès,90.0,Drama,6.4,20
tt1043726,The Legend of Hercules,99.0,"Action,Adventure,Fantasy",4.2,50352
tt1060240,Até Onde?,73.0,"Mystery,Thriller",6.5,21
tt1069246,Habana Eva,106.0,"Comedy,Romance",6.2,326
tt1094666,The Hammer,108.0,"Biography,Drama,Sport",7.0,1613
tt1130982,The Night Clerk,104.0,"Drama,Thriller",6.4,571
tt1156528,Silent Sonata,77.0,"Drama,War",7.2,265
tt1161457,Vanquisher,90.0,"Action,Adventure,Sci-Fi",4.2,148
tt1171222,Baggage Claim,96.0,Comedy,5.1,8296
tt1174693,The Four-Faced Liar,87.0,"Comedy,Drama,Romance",5.8,2381
tt1181840,Jack and the Cuckoo-Clock Heart,94.0,"Adventure,Animation,Drama",7.0,5494
tt1193623,Buried Prayers,,Documentary,8.0,5
tt1199588,Black Widow,75.0,Thriller,5.5,74
tt1204784,Maverick and Ariel's First Ever Ever Movie Hollywood or Else... (Ang pinakamahabang title ng movie sa balat ng lupa),,Comedy,5.8,6
tt1210166,Moneyball,133.0,"Biography,Drama,Sport",7.6,326657
tt1212419,Hereafter,129.0,"Drama,Fantasy,Romance",6.5,87288
tt1220911,Why I Did (Not) Eat My Father,101.0,"Adventure,Animation,Comedy",5.0,941
tt1229238,Mission: Impossible - Ghost Protocol,132.0,"Action,Adventure,Thriller",7.4,428142
tt1232829,21 Jump Street,109.0,"Action,Comedy,Crime",7.2,477771
tt1235548,VIPs,95.0,"Biography,Drama",6.6,2725
tt1243974,Aloha,105.0,"Comedy,Drama,Romance",5.4,54646
tt1250861,Under the Boardwalk: The Monopoly Story,88.0,"Documentary,History,Sport",6.2,416
tt1258812,War of the Gods,90.0,"Documentary,War",4.0,21
tt1261945,Sex and the City 2,146.0,"Comedy,Drama,Romance",4.4,69199
tt1266037,Quartier lointain,98.0,"Drama,Fantasy",7.0,1413
tt1270291,Hunter Prey,88.0,"Sci-Fi,Thriller",5.8,5728
tt1270761,Don't Be Afraid of the Dark,99.0,"Fantasy,Horror,Thriller",5.6,44490
tt1272886,Small Apartments,96.0,"Comedy,Crime,Drama",6.1,6688
tt1274297,Weddings and Other Disasters,102.0,Comedy,5.4,381
tt1283887,Burning Palms,105.0,"Comedy,Thriller",5.4,2527
tt1285219,Ghosts Don't Exist,99.0,Horror,3.4,387
tt1287879,America Stripped,78.0,Documentary,7.7,76
tt1290476,Obituary of the Sun,,"Drama,Thriller",7.2,6
tt1294141,Dancing Ninja,98.0,"Action,Comedy,Crime",4.5,113
tt1320239,Burke and Hare,91.0,"Comedy,Crime,History",6.2,18431
tt1322312,Going the Distance,102.0,"Comedy,Romance",6.3,54421
tt1323962,Andrey Iskanov's Ingression,,Horror,5.1,101
tt1325014,The People vs. George Lucas,93.0,"Comedy,Documentary",6.7,4240
tt1325019,The Custom Mary,81.0,Drama,7.2,29
